Suburb,Rooms,Type,Price,Distance,Bathroom,Car,Lattitude,Longtitude,Region,Year
Abbotsford,2,h,1480000.0,2.5,1.0,1.0,-37.7996,144.9984,Northern Metropolitan,2016
Abbotsford,2,h,1035000.0,2.5,1.0,0.0,-37.8079,144.9934,Northern Metropolitan,2016
Abbotsford,3,h,1465000.0,2.5,2.0,0.0,-37.8093,144.9944,Northern Metropolitan,2017
Abbotsford,3,h,850000.0,2.5,2.0,1.0,-37.7969,144.9969,Northern Metropolitan,2017
Abbotsford,4,h,1600000.0,2.5,1.0,2.0,-37.8072,144.9941,Northern Metropolitan,2016
Abbotsford,2,h,941000.0,2.5,1.0,0.0,-37.8041,144.9953,Northern Metropolitan,2016
Abbotsford,3,h,1876000.0,2.5,2.0,0.0,-37.8024,144.9993,Northern Metropolitan,2016
Abbotsford,2,h,1636000.0,2.5,1.0,2.0,-37.806,144.9954,Northern Metropolitan,2016
Abbotsford,1,u,300000.0,2.5,1.0,1.0,-37.8008,144.9973,Northern Metropolitan,2016
Abbotsford,2,h,1097000.0,2.5,1.0,2.0,-37.801,144.9989,Northern Metropolitan,2016
Abbotsford,2,u,700000.0,2.5,2.0,1.0,-37.811,145.0067,Northern Metropolitan,2016
Abbotsford,3,h,1350000.0,2.5,2.0,2.0,-37.8085,144.9964,Northern Metropolitan,2016
Abbotsford,2,u,750000.0,2.5,2.0,1.0,-37.8078,144.9965,Northern Metropolitan,2016
Abbotsford,2,h,1172500.0,2.5,1.0,1.0,-37.8084,144.9973,Northern Metropolitan,2016
Abbotsford,1,u,441000.0,2.5,1.0,1.0,-37.8016,144.9988,Northern Metropolitan,2016
Abbotsford,2,h,1310000.0,2.5,1.0,2.0,-37.809,144.9976,Northern Metropolitan,2016
Abbotsford,3,h,1200000.0,2.5,2.0,1.0,-37.8056,144.993,Northern Metropolitan,2016
Abbotsford,3,h,1176500.0,2.5,1.0,1.0,-37.8021,144.9965,Northern Metropolitan,2016
Abbotsford,3,h,955000.0,2.5,1.0,0.0,-37.8022,144.9975,Northern Metropolitan,2016
Abbotsford,2,h,890000.0,2.5,1.0,1.0,-37.8011,145.0004,Northern Metropolitan,2016
